|||Sütunlar|
Satırlar|||Tüketici Madde Fiyatları (2003=100)|
|||İstanbul-TR10|
||||
||0452101. (Doğal Gaz)|0.7312|
||0722001. (Benzin)|3.7333|
||0830009. (İnternet Ücreti)|58.3886|
|04-Nisan|0441001. (Su Faturası)|3.115|
||0451001. (Elektrik Ücreti)|0.2724|
||0452101. (Doğal Gaz)|0.7379|
||0722001. (Benzin)|3.75|
||0830009. (İnternet Ücreti)|58.3886|
|05-Mayıs|0441001. (Su Faturası)|3.115|
||0451001. (Elektrik Ücreti)|0.2724|
||0452101. (Doğal Gaz)|0.7351|
||0722001. (Benzin)|3.6938|
||0830009. (İnternet Ücreti)|58.3886|
|06-Haziran|0441001. (Su Faturası)|3.2054|
||0451001. (Elektrik Ücreti)|0.2724|
||0452101. (Doğal Gaz)|0.7376|
||0722001. (Benzin)|3.6577|
||0830009. (İnternet Ücreti)|58.3886|
|07-Temmuz|0441001. (Su Faturası)|3.201|
||0451001. (Elektrik Ücreti)|0.2724|
||0452101. (Doğal Gaz)|0.7363|
||0722001. (Benzin)|3.6586|
||0830009. (İnternet Ücreti)|58.3886|
|08-Ağustos|0441001. (Su Faturası)|3.1856|
||0451001. (Elektrik Ücreti)|0.2724|
||0452101. (Doğal Gaz)|0.7358|
||0722001. (Benzin)|3.6278|
||0830009. (İnternet Ücreti)|58.3886|
|09-Eylül|0441001. (Su Faturası)|3.1745|
||0451001. (Elektrik Ücreti)|0.2724|
||0452101. (Doğal Gaz)|0.7356|
||0722001. (Benzin)|3.6437|
||0830009. (İnternet Ücreti)|58.3886|
|10-Ekim|0441001. (Su Faturası)|3.1745|
||0451001. (Elektrik Ücreti)|0.2724|
||0452101. (Doğal Gaz)|0.7369|
||0722001. (Benzin)|3.6762|
||0830009. (İnternet Ücreti)|58.3886|
|11-Kasım|0441001. (Su Faturası)|3.2319|
||0451001. (Elektrik Ücreti)|0.2724|
||0452101. (Doğal Gaz)|0.7375|
||0722001. (Benzin)|3.6912|
||0830009. (İnternet Ücreti)|58.3886|
|12-Aralık|0441001. (Su Faturası)|3.2958|
||0451001. (Elektrik Ücreti)|0.2724|
||0452101. (Doğal Gaz)|0.7388|
||0722001. (Benzin)|3.8288|
||0830009. (İnternet Ücreti)|58.3886|
2011|01-Ocak|0441001. (Su Faturası)|3.5408|
||0451001. (Elektrik Ücreti)|0.2718|
||0452101. (Doğal Gaz)|0.7385|
||0722001. (Benzin)|3.9316|
||0830009. (İnternet Ücreti)|37.4847|
|02-Şubat|0441001. (Su Faturası)|3.342|
||0451001. (Elektrik Ücreti)|0.2718|
||0452101. (Doğal Gaz)|0.74|
||0722001. (Benzin)|3.9674|
||0830009. (İnternet Ücreti)|37.4847|
|03-Mart|0441001. (Su Faturası)|3.3744|
||0451001. (Elektrik Ücreti)|0.2718|
||0452101. (Doğal Gaz)|0.7427|
||0722001. (Benzin)|4.0718|
||0830009. (İnternet Ücreti)|37.4847|
|04-Nisan|0441001. (Su Faturası)|3.396|
||0451001. (Elektrik Ücreti)|0.27|
||0452101. (Doğal Gaz)|0.7448|
||0722001. (Benzin)|4.1525|
||0830009. (İnternet Ücreti)|37.4847|
|05-Mayıs|0441001. (Su Faturası)|3.4284|
||0451001. (Elektrik Ücreti)|0.27|
||0452101. (Doğal Gaz)|0.7462|
||0722001. (Benzin)|4.1998|
||0830009. (İnternet Ücreti)|37.4847|
|06-Haziran|0441001. (Su Faturası)|3.5148|
||0451001. (Elektrik Ücreti)|0.27|
||0452101. (Doğal Gaz)|0.747|
||0722001. (Benzin)|4.1722|
||0830009. (İnternet Ücreti)|37.4847|
|07-Temmuz|0441001. (Su Faturası)|3.4716|
||0451001. (Elektrik Ücreti)|0.2699|
||0452101. (Doğal Gaz)|0.7472|
||0722001. (Benzin)|4.2554|
||0830009. (İnternet Ücreti)|37.4847|
|08-Ağustos|0441001. (Su Faturası)|3.4608|
||0451001. (Elektrik Ücreti)|0.2699|
||0452101. (Doğal Gaz)|0.7472|
||0722001. (Benzin)|4.3214|
||0830009. (İnternet Ücreti)|37.4847|
|09-Eylül|0441001. (Su Faturası)|3.4932|
||0451001. (Elektrik Ücreti)|0.2699|
||0452101. (Doğal Gaz)|0.7471|
||0722001. (Benzin)|4.3621|
||0830009. (İnternet Ücreti)|37.4847|
|10-Ekim|0441001. (Su Faturası)|3.5256|
||0451001. (Elektrik Ücreti)|0.2958|
||0452101. (Doğal Gaz)|0.8389|
||0722001. (Benzin)|4.3118|
||0830009. (İnternet Ücreti)|37.4847|
|11-Kasım|0441001. (Su Faturası)|3.6444|
||0451001. (Elektrik Ücreti)|0.2958|
||0452101. (Doğal Gaz)|0.8408|
||0722001. (Benzin)|4.2389|
||0830009. (İnternet Ücreti)|37.4847|
|12-Aralık|0441001. (Su Faturası)|3.7092|
||0451001. (Elektrik Ücreti)|0.2958|
||0452101. (Doğal Gaz)|0.8428|
||0722001. (Benzin)|4.2353|
||0830009. (İnternet Ücreti)|37.4847|
2012|01-Ocak|0441001. (Su Faturası)|3.6228|
||0451001. (Elektrik Ücreti)|0.2976|
||0452101. (Doğal Gaz)|0.8437|
||0722001. (Benzin)|4.3498|
||0830009. (İnternet Ücreti)|50.9075|
|02-Şubat|0441001. (Su Faturası)|3.6444|
||0451001. (Elektrik Ücreti)|0.2976|
||0452101. (Doğal Gaz)|0.845|
||0722001. (Benzin)|4.3776|
||0830009. (İnternet Ücreti)|50.9075|
|03-Mart|0441001. (Su Faturası)|3.666|
||0451001. (Elektrik Ücreti)|0.2976|
||0452101. (Doğal Gaz)|0.8455|
||0722001. (Benzin)|4.5486|
||0830009. (İnternet Ücreti)|50.9075|
|04-Nisan|0441001. (Su Faturası)|3.6876|
||0451001. (Elektrik Ücreti)|0.3252|
||0452101. (Doğal Gaz)|0.9827|
||0722001. (Benzin)|4.6661|
||0830009. (İnternet Ücreti)|51.2278|
|05-Mayıs|0441001. (Su Faturası)|3.7416|
||0451001. (Elektrik Ücreti)|0.3252|
||0452101. (Doğal Gaz)|0.9831|
||0722001. (Benzin)|4.3384|
||0830009. (İnternet Ücreti)|51.2278|
|06-Haziran|0441001. (Su Faturası)|3.7416|
||0451001. (Elektrik Ücreti)|0.3252|
||0452101. (Doğal Gaz)|0.9833|
||0722001. (Benzin)|4.2225|
||0830009. (İnternet Ücreti)|51.2278|
|07-Temmuz|0441001. (Su Faturası)|3.72|
||0451001. (Elektrik Ücreti)|0.3252|
||0452101. (Doğal Gaz)|0.984|
||0722001. (Benzin)|4.2919|
||0830009. (İnternet Ücreti)|51.2278|
|08-Ağustos|0441001. (Su Faturası)|3.72|
||0451001. (Elektrik Ücreti)|0.3252|
